Artikelnummer;Artikelname
A05286;Develey Sour Cream - 875ml
A06621;Fischer Schnitzelgurken - 2650ml
A06443;(X) Hengstenberg Rote Bete in Scheiben - 2650ml
A11120;TK Avita Gemüseschnitzel 150g - 1,2kg
A02916;"Three Sixty Vodka ""Black 42"" 42%vol. - 0,7L"
A02917;"Three Sixty Vodka ""Easy"" 20%vol. - 0,7L"
A02495;Schwarze Frühstückskorn 32%vol. - 0,7L
A02941;Oriental Deja-Vu Aperitif 17%vol. - 0,7L
A02427;Three Sixty Vodka 37,5%vol. - 0,7L
A02558;Three Sixty Vodka 37,5%vol. - 3L
A02918;"Three Sixty Vodka ""100 Proof"" 50%vol. - 0,7L"
A05102;Jürgen Langbein Krebs-Paste - 500g
A05101;Jürgen Langbein Hummer-Paste - 500g
A05098;Jürgen Langbein Fisch-Paste - 500g
A10793;TK Fischburger paniert 80x75g - 6kg
A05841;Knorr Klare Rindsuppe - 880g
A05803;Knorr Gemüse Kraftbouillon - 1kg
A05836;Knorr Hühner Kraftbouillon - 1kg
A05842;Knorr Rinder Kraftbouillon - 1kg
A05810;Knorr Sahnesoße Carbonara - 1kg
A05806;Knorr Paprikasoße ungarischer art - 1kg
A05846;Knorr Buttersauce Bearnaise - 500g
A05807;Knorr Pfeffersoße - 1kg
A05853;Knorr Paprikasoße cremig - 1kg
A05813;Knorr Soße zu Braten - 3kg
A05850;Knorr Bratenjus Pastös - 1,4kg
A05831;Knorr Veloute Weiße Grundsoße - 1kg
A05804;Knorr Jägersoße mit Champignons - 1kg
A05805;Knorr Jägersoße mit Champignons - 3kg
A05802;Knorr Delikatess Soße zu Braten - 1kg
A05830;Mondamin Fix-Soßenbinder hell - 1kg
A05829;Mondamin Fix-Soßenbinder dunkel - 1kg
A05844;Knorr Salatkrönung Gartenkräuter - 500g
A05811;Knorr Salatkrönung Universal-Kräuter - 500g
A05834;Knorr Tomaten Cremesuppe - 2,7kg
A05835;Knorr Gebundene Ochsenschwanzsuppe - 2,7kg
A05843;Knorr Gekörnte Brühe Gemüse - 1kg
A05849;Knorr Tomaten Sauce Napoli - 1kg
A05847;Knorr Buttersauce Hollandaise - 500g
A05845;Knorr Feinkost Sauce zu Braten - 1kg
A05848;Knorr Delikatess Soße zu Braten - 3kg
A05860;(B) Mondamin Fix-Soßenbinder hell - 10kg
A05851;Knorr Sauce Cafe de Paris - 1kg
A03319;Pfanni Püree Flocken - 4kg
A06623;Victor Champignons 1. Wahl Mini ganze Köpfe 20mm - 2650ml
A06626;Victor Stangenabschnitte mit Köpfen - 1700ml
A06624;Victor Champignons 2. Wahl in Scheiben - 2650ml
A06418;Cana Stangenspargel weiß geschält - 660g
A09082;Pommes-Schütte 85ml (130x115mm) - 1000Stk.
A09083;Pommes-Schütte 196ml (130x145mm) - 1000Stk.
A05113;Monin Mandel Sirup - 1L
A05112;Monin Limette Sirup - 1L
A07206;Maryland Cashewkerne - 1kg
A05038;Hengstenberg Tafel-Essig 5% - 10L
A06442;Hengstenberg Gewürzgurken Knax - 2650ml
A06441;(X) Hengstenberg Gewürzgurken 75/80er - 10200ml
A06622;Deppert Gurken-Schnitzel - 10200ml
A06425;Deppert Bohnensalat - 4250ml
A06427;Deppert Rote Bete in Scheiben - 4250ml
A06428;Deppert Rote Bete in Streifen - 4250ml
A06426;Deppert Puszta-Salat - 4250ml
A06429;Deppert Rotkohl tafelfertig - 4250ml
A02860;Dalmatiner Rotwein Lieblich 11,5%vol. - 1L
A02774;Soba Kadarka Rotwein 10,5%vol. - 1L
A02737;Soba Plavac Kroatien Rotwein 12,5%vol. - 1L
A02361;Moreska Kruskovac Birnenlikör 25%vol. - 10L
A02412;Soba Kleine Julia Birnenlikör 25%vol. - 1L
A02580;Sobanka Kruskovac Birnenlikör 25%vol. - 10L
A02362;Moreska Kruskovac Birnenlikör 25%vol. - 1L
A02409;Sliwowitz Pflaumenbrand 40%vol. - 10L
A02410;Sliwowitz Pflaumenbrand 40%vol. - 1L
A06500;Sofko Ajvar scharf - 720ml
A06499;Sofko Ajvar scharf - 2650ml
A06497;Sofko Ajvar mild - 2650ml
A06498;Sofko Ajvar mild - 720ml
A06333;(X) Sofko Riesenbohnen in Tomatensoße - 2kg
A06502;Sofko Djuwetsch Gemüse - 850g
A06501;Sofko Djuwetsch Gemüse - 4250g
A03045;Dr. Oetker Klassischer Pudding Schokolade - 900g
A03044;Dr. Oetker Klassischer Pudding Vanille - 1kg
A09033;Backpapier in Box braun - 0,38x100m
A02015;Fass Krombacher Pils - 50L
A02014;Fass Krombacher Pils - 30L
A02048;Glas Krombacher alkoholfrei - 20x0,5L
A02049;Glas Krombacher alkoholfrei - 24x0,33L
A02050;Glas Krombacher Pils - 20x0,5L
A02051;Glas Krombacher Pils - 24x0,33L
A02053;Glas Krombacher Radler - 20x0,5L
A02054;Glas Krombacher Radler - 24x0,33L
A03096;La Comtesse Erdnusscreme Crunchy - 350g
A07029;Ferrero Kinder Riegel - 36x21g
A07033;Ferrero Kinder Bueno 2er - 30x43g
A03097;Nutella - 450g
A07034;Ferrero Nutella&Go - 12x52g
A06619;Mamminger Gurkenwürfel - 10200ml
A06514;WASTA Gurken in Scheiben - 4250ml
A01310;Körfez Ayran Mango - 10x250ml
A01311;Körfez Ayran Kirsch - 10x250ml
A04500;Ayfit Joghurt 3,8% - 10kg
A01306;Ayfit Ayran - 20x250ml
A03421;Plange Weizenmehl (Typ405) - 25kg
A03410;Diavita Weizenmehl (Typ405) - 25kg
A03411;Diavita Weizenmehl (Typ550) - 25kg
A03420;Bindewald Weizenmehl (Typ00) - 10x1kg
A03005;Blattgelatine Schwein (silber) - 1kg
A02088;Glas Jever Fun - 24x0,33L
A04656;Oba Weiß Weißkäse 40% Combi - 16kg
A04654;Oba Blau Weißkäse 40% Krem - 16kg
A04655;Oba Rot Weißkäse 40% Kesme - 16kg
A04693;Oba Weißkäse 55% - 800g
A04660;Rücker Hirtenkäse 45% gewürfelt - 1,8kg
A05344;Lacroix Herbadox Würzextrakt - 1L
A03731;Teekanne Teefix - 80Stk.
A03732;Teekanne English Breakfast - 100Stk.
A03730;Teekanne Earl Grey - 100Stk.
A03733;Teekanne Grüner Tee - 100Stk.
A03735;Teekanne Pfefferminze - 100Stk.
A03738;Teekanne Hagebutte - 100Stk.
A03737;Teekanne Kamille - 100Stk.
A03739;Teekanne Früchtemischung - 100Stk.
A03736;Teekanne 8-Kräuter - 100Stk.
A03734;Teekanne Waldbeere - 80Stk.
A05700;Luvat Remoulade 80% - 875ml
A06001;(X)Ubena Kreuzkümmel/Cumin gemahlen - 500g
A06002;Ubena Curry Indische Art - 500g
A06003;Ubena Fleischzartmachersalz - 1,1kg
A05993;Ubena Gewürzter Pfeffer Gewürzzubereitung - 500g
A06004;(X)Ubena Ingwer gemahlen - 500g
A06005;Ubena Kotelett&Schnitzel Gewürzsalz - 800g
A06006;Ubena Kräuterbuttter Gewürzmischung - 450g
A06007;Ubena Majoran gerebelt - 100g
A06008;Ubena Paprika edelsüß - 500g
A06010;Ubena Pfeffer bunt geschroten Gewürzm. - 500g
A06009;Ubena Pfeffer bunt ganz - 550g
A06011;Ubena Pfeffer schwarz gemahlen - 600g
A06012;Ubena Pfeffer weiß gemahlen - 600g
A06013;Ubena Pommes-Frites Gewürzsalz - 1kg
A06021;Ubena Virginia Fleischgewürzzubereitung - 450g
A06014;Ubena Wacholderbeeren ganz - 350g
A06015;(X)Ubena Zimt gemahlen - 500g
A09730;Mikrofasertücher Stretch rosa (40x40cm) - 10Stk.
A02331;(X)Leverings Ossenkämper Kräuterlikör 40%vol. - 0,7L
A08209;(X)Deckel für Trinkbecher 0,3L Coca-Cola Druck - 100Stk.
A08208;Deckel für Coffee to go 0,4L - 100Stk.
A08206;Deckel für Coffee to go 0,2-0,3L - 100Stk.
A04411;Damhus Bratwurst im Naturdarm - 30x110g
A04409;Damhus Bockwurst in Lake - 25x120g
A04400;Damhus Putenbratwurst - 10x100g
A04401;Damhus Putenbratwurst - 10x120g
A02793;Mumm Dry Sekt trocken - 0,75L
A06633;Kühne Tafelessig 5% - 750ml
A06638;Kühne Senf würzig-pikant - 10kg
A06639;Kühne Senf würzig-pikant - 5kg
A06640;Kühne Senf mittelscharf - 10kg
A03108;Kühne Rote Grütze - 3100ml
A06643;Kühne Gewürzgurken 55/60 - 10200ml
A06644;Kühne Gewürzgurken 75/80 - 10200ml
A06655;Kühne Gewürzgurken 100/110 - 10200ml
A06652;Kühne Rotkohl - 4250ml
A06654;Kühne Weinkraut Sauerkraut - 10200ml
A06635;Kühne Marinade für Sushi Reis - 10L
A06637;Kühne Senf mittelscharf - 875ml
A06653;Kühne Apfelrotkohl fix&fertig - 5kg
A06636;Kühne Senf mittelscharf port. - 150x10ml
A06630;Kühne Surol 7-Kräuter Essig - 750ml
A06631;Kühne Essig & Zitrone - 750ml
A06632;Kühne Apfel-Essig 5% - 750ml
A06201;Eier in Eimer gekocht&geschält - 60 Stk.
A06396;Eifix Konditor Eiweiß - 1L
A06203;Eifix Vollei frisch - 1L
A06397;"Eifix Schlemmer Rührei ""Pfannenfertig"" - 1L"
A06398;Eifix Eigelb - 1L
A09705;Dalli Waschmittel für 100 Wäschen - 6,5kg
A09774;Dalli Vollwaschmittel flüssig für 100 Wäschen - 5L
A09773;Dalli Color Flüssigwaschmittel für 50 Wäschen - 2,75L
A06467;Marmara Pfefferoni extra scharf - 2650ml
A06468;Marmara Türlü Tursu - 2650ml
A05261;Bautzner Senf mittelscharf - 1L
A05144;Cabo Bay Lime Juice Sirup - 0,7L
A05145;Cabo Bay Lemon Squash Sirup - 700ml
A05605;Le Picant Salatmayonnaise 50% - 10kg
A01110;Glas Bionade Hollunder - 12x0,33L
A01111;Glas Bionade Ingwer/Orange - 12x0,33L
A01113;Glas Bionade Zitrone - 12x0,33L
A01112;Glas Bionade Orange - 12x0,33L
A02903;Rotkäppchen Sekt Rosé trocken 11%vol. - 0,75L
A02904;Rotkäppchen Sekt Spätburgunder Rosé trocken 11,5%vol. - 0,75L
A09732;Persil Universal Waschmittel für 100 Wäschen - 6,5kg
A02937;Verpoorten Original Eierlikör 20%vol. - 0,7L
A01304;Citrovin Zitronenkonzentrat - 200ml
A02210;Asbach Uralt Weinbrand 36%vol. - 0,7L
A06309;Menzi Serbische Bohnensuppe - 5x200ml
A06303;Menzi Fruchtige Tomatensuppe - 5x200ml
A06307;Menzi Zwiebelsuppe französisch - 5x200ml
A06306;Menzi Ungarische Gulaschsuppe - 5x200ml
A06304;Menzi Klare Hühnersuppe - 5x200ml
A06302;Menzi Djuvec Reis - 800ml
A06301;Menzi Djuvec Reis - 2500ml
A01018;Dose Moloko Soft Drink - 24x0,25L
A04407;EFEPASA Güven Sucuk geschnitten - 200g
A04405;EFEPASA Pasa Sucuk Kangal - 1kg
A04406;EFEPASA Pasam Sucuk Parmak - 1kg
A10011;TK Nikos Pita - 20Stk.
A06475;Niklas Getrocknete Tomaten - 500g
A01209;Glas Sinalco Orange - 24x0,33L
A01210;Glas Sinalco Zitrone - 24x0,33L
A01207;Glas Sinalco Cola - 24x0,33L
A01219;Glas Sinalco Cola-Mix 24x0,33L
A01208;Glas Sinalco Cola ohne Zucker - 24x0,33L
A01215;Pet Sinalco Cola ohne Zucker - 12x0,5L
A01216;Pet Sinalco Orange - 12x0,5L
A01217;Pet Sinalco Zitrone - 12x0,5L
A01214;Pet Sinalco Cola - 12x0,5L
A01213;Dose Sinalco Orange - 12x0,33L
A01211;Dose Sinalco Cola - 12x0,33L
A01212;Dose Sinalco Cola ohne Zucker - 12x0,33L
A10838;TK Party Vannamei Garnelen mit Schwanz 26-30 gekocht - 1kg
A08499;Siegelfolie Alu 5,4kg (245mm) - 1 Rolle
A08886;Salatbox mit Dressing (146) - 100Stk.
A08880;Salatbox (147) groß - 100Stk.
A08881;Salatbox (148) flach - 100Stk.
A08909;Salatbox (149) klein - 75Stk.
A08885;Salatbox (150/xs) - 125Stk.
A08850;(X)Klappbox rund (500ml) - 50Stk.
A08851;(X)Klappbox rund (750ml) - 50Stk.
A08848;(X)Klappbox rund (1000ml) - 50Stk.
A08892;Menüschale 602 (Siegelschale) Gr. A 2-fach weiß- 50Stk.
A08912;Menüschale 603 (Siegelschale) Gr. A 3-fach weiß - 50Stk.
A08914;Menüschale 613 (Siegelschale) Gr. B 2-fach weiß - 100Stk.
A08864;Mw-Deckel für Mw-Schalen transparent - 50Stk.
A08867;Mw-Schale schwarz (ungeteilt) - 50Stk.
A08865;Mw-Schale schwarz (2-teilig) - 50Stk.
A08866;Mw-Schale schwarz (3-teilig) - 50Stk.
A08838;Hamburgerbox klein weiß - 100Stk.
A08835;Hamburgerbox (IP6 XL) weiß - 100Stk.
A08836;Hamburgerbox giant (IP6 XXL) weiß - 100Stk.
A08862;Menübox (ungeteilt) champagner - 100Stk.
A08857;Menübox (2-teilig) champagner - 100Stk.
A08859;Menübox (3-teilig) champagner - 100Stk.
A08830;Dinner-Box laminiert champagner (2-teilig) - 50Stk.
A08831;Dinner-Box laminiert champagner (3-teilig) - 50Stk.
A08837;Hamburgerbox groß (IP6) weiß - 125Stk.
A08855;Lunchbox (IP9) weiß - 125Stk.
A08854;Lunchbox (IP10) weiß - 125Stk.
A08888;Salatschale B3 weiß (750ml) 100Stk.
A08827;Deckel für Salatschale (B3) - 100Stk.
A08826;Deckel für Salatschale (B2) - 100Stk.
A08887;Salatschale B2 weiß (400ml) - 100Stk.
A08806;Bagasse Hamburgerbox (IP7) - 125Stk.
A08805;Bagasse Hamburgerbox (IP6) XL - 100Stk.
A08807;Bagasse Hamburgerbox giant XXL - 100Stk.
A08804;Bagasse Hamburgerbox (IP6) groß - 50Stk.
A08810;Bagasse Lunch-Box (IP9) - 125Stk.
A08808;Bagasse Lunch-Box (IP10) - 125Stk.
A08813;Bagasse Menü-Box (ungeteilt) - 100Stk.
A08811;Bagasse Menü-Box (2-geteilt) - 100Stk.
A08812;Bagasse Menü-Box (3-geteilt) - 100Stk.
A05303;Appel Worcester Soße - 1L
A05304;Appel Zuckercouleur - 1L
A10001;TK Baguettebrot - 20x440g
A10002;TK Ciabatta Classico - 30x290g
A10016;TK Walnußbaguette halbgebacken - 30x340g
A10017;TK Ital. Baguette mit Grünen Oliven (PanOli) - 40x230g
A10000;TK Baguette Big Parisienne - 16x550g
A01000;Dose Action Energy - 24x0,25L
A03711;Mevlana Tee - 1kg
A03718;Mevlana Tee - 500g
A10508;TK Hülshorst Pfannengyros aus Schwein - 2,5kg
A10109;TK Hülshorst Frikadelle - 30x120g
A10110;TK Hülshorst Pfannenfrikadellen - 30x125g
A10514;TK Hülshorst Rinderrouladen in Soße, gegart (3x15x100g.) - 9,6kg
A11126;TK Pilz Krone Pfifferlinge sortiert, mittlere Größe - 1kg
A11129;TK Pilz Krone Steinpilze Piccolo - 1kg
A11128;TK Pilz Krone Steinpilze geschn. in Würfel ca. 20-30mm - 1kg
A11127;TK Pilz Krone Steinpilze Scheiben - 1kg
A11130;TK Pilz Krone Feine Pilzmischung - 1kg
A05701;Nadler Remoulade 50% - 2,5kg
A05702;Nadler Remoulade 50% - 5kg
A05703;Nadler Remoulade 50% - 875ml
A02045;Glas Hövels Original Bügel - 12x0,5L
A06469;Mischpilze - 850ml
A02033;Glas Salitos Tequila - 24x0,33L
A01233;Glas Acqua Morelli Non-Sparkling - 12x0,75L
A01232;Glas Acqua Morelli Sparkling - 12x0,75L
A02798;Scavi&Ray Hugo - 0,75L
A02722;Scavi&Ray Prosecco Frizzante DOC 10,5% - 0,75L
A02919;9 Mile Vodka 37,5%vol. - 0,7L
A10106;TK Foodworks Chicken Nuggets - 1kg
A10606;TK Foodworks Angus Burger 285g ungewürzt - 5,13kg
A10614;TK Foodworks Hamburgerfleisch 45g - 5kg
A10615;TK Foodworks Hamburgerfleisch 62,5g - 5kg
A10607;TK Foodworks Hamburgerfleisch 100g - 5kg
A10609;TK Foodworks Hamburgerfleisch 125g - 5kg
A10610;TK Foodworks Hamburgerfleisch 150g - 5kg
A10611;TK Foodworks Hamburgerfleisch 180g - 5kg
A10612;TK Foodworks Hamburgerfleisch 227g - 5kg
A10613;(X)TK Foodworks Hamburgerfleisch 339g - 4,75kg
A10608;(B)TK Foodworks Hamburgerfleisch Homestyle 198g - 6kg
A08609;Nitril Handschuhe (S) ungepudert - 100Stk.
A08600;Einweghandschuhe - 100Stk.
A05800;Hesco Hühnersuppe konzentrat - 850ml
A05801;Hesco Rindersuppe konzentrat - 850ml
A09044;Sahneabdeckpapier (12x18cm) - 1000Stk.
A05011;Pflanzenmargarine - 500g
A04102;Salami Truthahn Kal.90 (halal) - 500g
A06074;Hela Rosmarin - 140g
A05509;Hela Gewürzketchup - 10kg
A06078;(X)Hela Golden Pommes - 1,3kg
A06079;Hela Wildwürzung - 950g
A06058;Hela Fischwürzung mit Meersalz - 950g
A06084;Hela Gemüsewürzung - 1150g
A06057;Hela Zitronen Pfeffer - 1kg
A06085;Hela Ras el Hanout Gewürzmischung - 260g
A06065;Hela Chiliringe rot - 75g
A06061;Hela California-Sun Orange - 400g
A06062;Hela California-Sun Lemon - 400g
A06076;Hela Salbei - 60g
A06077;Hela Thymian - 80g
A06066;Hela Estragon - 70g
A06064;Hela Chilifäden - 75g
A06068;Hela Kerbel - 45g
A06067;Hela Kräuter italienischer Art - 70g
A06063;Hela Sternanis ganz - 110g
A06070;Hela Majoran - 50g
A06071;Hela Oregano - 55g
A06072;Hela Paprikapulver geräuchert - 600g
A06073;Hela Paprika Spezial gemahlen - 600g
A06080;Hela Curry Madras - 650g
A06053;Hela Steakpfeffer Caracas - 800g
A06069;Hela Kräuter Art der Provence - 270g
A06059;Hela Argentinia mit Sesam - 820g
A06060;Hela Argentinia ohne Sesam - 820g
A06054;Hela Café de Paris - 430g
A06055;Hela Steakal - 900g
A06056;Hela Orangen Pfeffer - 900g
A06081;Hela Feines Erdnussöl - 500ml
A06082;Hela Feines Kürbiskernöl gepresst - 500ml
A06083;Hela Feines Walnussöl geröstet - 500ml
A06050;Hela Mistura de Tomato - 470g
A06052;Hela Pulled Pork BBQ Rub - 400g
A06051;Hela Beef Brisket Rub - 450g
A10008;TK Schulstadt Hamburgerbrötchen mit Sesam Gigant - 16x126g
A10007;TK Schulstad Hamburgerbrötchen mit Sesam 125mm - 24x80g
A05952;Fuchs Kurkuma gemahlen - 600g
A05935;Fuchs Basilikum - 250g
A05988;Fuchs Bohnenkraut gerebelt - 400g
A05937;Fuchs Chili ganz - 500g
A05938;Fuchs Chili geschrotet - 500g
A05936;Fuchs Cayenne Pfeffer - 1kg
A06000;Fuchs Kreuzkümmel/Cumin ganz - 800g
A05998;Fuchs Stangenzimt - 250g
A05976;Fuchs Barbecue Steak Würzmischung - 1,5kg
A05943;Fuchs Grill-Barbecue - 1kg
A05939;Fuchs China Würzer - 1,5kg
A05944;Fuchs Gyros Würzer - 1kg
A05945;Fuchs Hähnchenwürzsalz - 2kg
A05950;Fuchs Kräuterbutter Würzmischung - 1kg
A05969;Fuchs Pommes-Frites Würzsalz - 2kg
A05973;Fuchs Spieß&Grillbraten Würzer - 1,5kg
A05940;"Fuchs Curry english style ""Goldelefant"" - 1kg"
A05941;"Fuchs Curry indisch ""Pirat"" - 1kg"
A05942;Fuchs Drehspieß Döner Kebab - 1kg
A05946;Fuchs Ingwer gemahlen - 1kg
A05947;Fuchs Knoblauchgranulat - 1kg
A05948;Fuchs Knoblauchpulver - 1kg
A05949;Fuchs Kräuter der Provence - 400g
A05951;Fuchs Kümmel gemahlen - 1kg
A05989;Fuchs Lorbeerblätter - 150g
A05954;Fuchs Mononatriumglutamat - 1kg
A05955;Fuchs Muskatnuss gemahlen - 1kg
A06019;Fuchs Natron - 1kg
A05956;Fuchs Nelken Ganz - 500g
A05958;Fuchs Paprika edelsüß mild - 1kg
A05960;Fuchs Paprika rosenscharf - 1kg
A05994;"(X) Fuchs Paprika Merkantil ""extra scharf"" - 1kg"
A05961;Fuchs Pfeffer bunt ganz - 1kg
A05962;Fuchs Pfeffer schwarz ganz - 1kg
A05963;Fuchs Pfeffer schwarz gemahlen - 1kg
A05965;Fuchs Pfeffer weiß ganz - 1kg
A05966;Fuchs Pfeffer weiß gemahlen - 1kg
A05964;Fuchs Pfeffer schwarz geschrotet - 1kg
A05967;Fuchs Piment ganz - 500g
A05968;Fuchs Pizza Gewürz - 500g
A05995;Fuchs Rosa Beeren ganz - 500g
A05996;Fuchs Safran in Fäden - 5g
A05970;Fuchs Salatkräuter gerebelt - 400g
A05959;Fuchs Paprika geräuchert - 850g
A05971;Fuchs Schwarzkümmel - 650g
A05972;Fuchs Sesam weiß hell - 1kg
A05997;Fuchs Senfkörner ganz - 1kg
A05999;Fuchs Suppengewürz - 400g
A05977;Fuchs Wacholderbeeren - 500g
A05978;Fuchs Zimt gemahlen - 1kg
A05979;Fuchs Zwiebelpulver - 1kg
A05957;Fuchs Oregano gerebelt - 500g
A05953;Fuchs Lorbeerblätter - 250g
A09778;(X)Topwash Prof. Vollwaschmittel für 140-280 Wäschen - 14kg
A03100;Breitsamer Honig flüssig - 1,5kg
A03163;Breitsamer Honigsticks flüssig - 80x8g
A03162;Breitsamer Honig Frühstücks-Portionen flüssig - 120x20g
A05219;Optimahl American Dressing - 10x80ml
A05221;Optimahl Joghurtdressing - 10x80ml
A05220;Optimahl Balsamicodressing - 10x80ml
A05355;Point of Food Barbecue Soße - 5kg
A05900;Amazonas Grüner Pfeffer - 850g
A09722;Eilfix Urinex Urin-&Kalksteinlöser - 1L
A09717;Eilfix Entkalker - 1L
A09733;Profi-Spülmaschinentabs (160 Tabs)
A09724;Spülan Geschirr-Reiniger Pulver - 10kg
A09720;Eilfix Sanitärreiniger - 1L
A09718;Eilfix Glanzwischpflege - 1L
A09719;Eilfix Konvekt KS Klarspüler für Konvektomat - 10L
A09723;Geschirr-Reiniger GSM 15 flüssig - 14Liter
A09721;Eilfix Schnelldesinfektion - 1L
A05206;Homann Honig-Senf Dressing - 4L
A05204;Homann Balsamico Dressing - 4L
A05498;Homann Vegane Salatmayonnaise 50% - 875ml
A05606;Lord Salatmayonnaise 50% - 10kg
A05335;Homann Jägerschnitzel Soße - 4kg
A05336;Homann Paprikaschnitzel Soße Balkan Art - 4kg
A05506;Hamker Gewürzketchup - 875ml
A05505;Hamker Curryketchup - 875ml
A05507;Hamker Tomatenketchup - 875ml
A05497;Classika Tomatenketchup - 10kg
A05496;Classika Curryketchup - 10kg
A05499;Homann Currywurstsauce - 5kg
A05615;Classika Salatmayonnaise 50% - 10kg
A05603;Homann Salatmayonnaise 50% - 10kg
A05337;Homann Salsa Mexican Soße - 3kg
A05334;Homann Hamburger-Soße - 450ml
A08898;Suppenterrine mit Griff (500ml) - 100Stk.
A08214;Trinkbecher 0,2L transparent - 100Stk.
A08316;Soßenbecher (50ml) rund - 10x50Stk.
A08317;Soßenbecher (80ml) rund - 10x50Stk.
A08318;Soßenbecher (100ml) rund - 10x50Stk.
A08313;Buttertöpfchen mit Deckel (30ml) - 10x50Stk.
A08326;Thermobecher 500ml (FC16) geschäumt - 25Stk.
A08327;Thermobecher 750ml (FC20) geschäumt - 25Stk.
A08899;Suppenterrine mit Griff (750ml) - 100Stk.
A08897;Suppenterrine mit Griff (350ml) - 100Stk.
A08325;Thermobecher 350ml (FC12) geschäumt - 25Stk.
A08868;(X) Plastikschale (200ccm) - 250Stk.
A08869;(X) Plastikschale (250ccm) - 250Stk.
A08870;(X) Plastikschale (300ccm) - 250Stk.
A08300;Feinkostbecher+Deckel (125ml) eckig - 5x50Stk.
A08301;Feinkostbecher+Deckel (200ml) eckig - 5x50Stk.
A08302;Feinkostbecher+Deckel (250ml) eckig - 5x50Stk.
A08304;Feinkostbecher+Deckel (500ml) eckig - 5x50Stk.
A08323;Deckel für Thermobecher - 25Stk.
A08305;Feinkostbecher+Deckel (125ml) rund - 5x50Stk.
A08306;Feinkostbecher+Deckel (200ml) rund - 5x50Stk.
A08307;Feinkostbecher+Deckel (250ml) rund - 5x50Stk.
A08308;Feinkostbecher+Deckel (300ml) rund - 5x50Stk.
A08309;Feinkostbecher+Deckel (500ml) rund - 5x50Stk.
A08216;Trinkbecher 0,3L transparent - 100Stk.
A08217;Trinkbecher 0,3L weiß - 100Stk.
A08218;Trinkbecher 0,4L transparent - 50Stk.
A08219;Trinkbecher 0,4L weiß - 100Stk.
A08220;Trinkbecher 0,5L transparent - 50Stk.
A08221;Trinkbecher 0,5L weiß - 100Stk.
A08229;Einweg-Bierbecher transparent 300ml - 100Stk.
A08844;Klappbox 8-eckig (250ml) - 50Stk.
A08845;Klappbox 8-eckig (375ml) - 50Stk.
A08846;Klappbox 8-eckig (500ml) - 50Stk.
A08847;Klappbox 8-eckig (750ml) - 50Stk.
A08842;Klappbox 8-eckig (1000ml) - 50Stk.
A08843;Klappbox 8-eckig (1500ml) - 25Stk.
A07201;Erdnüsse gesalzen - 1kg
A06020;Fuchs Hackfleisch Würzmischung - 2kg
A03709;Tanay Ceylon Tee - 1kg
A05007;Meggle Kräuterbutter Rolle - 250g
A05008;Meggle Portionsbutter 100x10g
A04617;Milram Mozzarella 40% Brotware -*ca.2,5kg
A04807;Milram Schlagsahne 30% - 1L
A04618;Milram Mozzarella 40% geraspelt - 2kg
A04608;Milram Gouda 48% geraspelt - 2kg
A04619;Milram Mozzarella 40% gewürfelt - 2kg
A04505;(X)Milram Joghurt nach türkischer Art 10% - 5kg
A04609;Milram Gouda 48% in Scheiben - 2x500g
A04805;Milram Kaffeesahne 10% - 240x7,5g
A04812;Milram Küchensahne 15% - 1L
A04667;Milram Gouda Vegan geraspelt - 1kg
A04509;Milram Schmand 24% - 5kg
A04506;Milram Speisequark 0,3% mager - 10kg
A04616;Milram Mozzarella 40% Blockware -*ca.15kg
A04808;Neuburger Schlagsahne 30% - 1L
A04520;Mertens Schmand Vegetarisch 24% - 5kg
A04519;PAN Joghurterzeugnis 3,8% - 10kg
A10854;TK Sardellen Ganz Griechenland - 1kg
A10833;TK Garnelen im Kartoffelnest paniert - 250g
A10864;TK Tropenzungenfilet 80-130 - 2kg
A10915;TK Seeteufelfilet ohne Haut 100-200g - 1kg
A10767;TK Miesmuschel gekocht, halbe Schale 60/80 - 1kg
A10823;TK B.T. Garnelen 21-30 m. Kopf m. Schale - 1kg
A10825;TK B.T. Garnelen 31-40 m. Kopf m. Schale - 1kg
